一不小心	yrt brt siu srm
横三竖四	waj sam sv sei
横刀夺爱	waj dou dvt oi
横切	waj cit
横剖面	waj fru min
横加	waj ga
横加指责	waj ga zi zak
横匾	waj bin
横向	waj hxj
横尸遍野	waj si pin ye
横山	waj san
横山县	waj san yvn
横山乡	waj san hxj
横峰	waj fuj
横峰县	waj fuj yvn
横幅	waj fuk
横幅标语	waj fuk biu yv
横坐标	waj zo biu
横心	waj srm
横截	waj zit
横截线	waj zit sin
横截面	waj zit min
横批	waj pri
横折	waj zit
横挑鼻子，竖挑眼	waj tiu bei zi ，sv tiu jan
横振动	waj zrn duj
横扫	waj sou
横扫千军	waj sou cin gurn
横摺	waj zip
横斑林莺	waj ban lrm rj
横斑腹小鸮	waj ban fuk siu hiu
横斜	waj ce
横斜钩	waj ce jru
横断	waj dvn
横断山脉	waj dvn san mrk
横断步道	waj dvn bou dou
横断物	waj dvn mrt
横断面	waj dvn min
横是	waj si
横暴	waj bou
横木	waj muk
横桁帆	waj hrj fan
横梁	waj lxj
横楣	waj mei
横楣子	waj mei zi
横杠	waj goj
横标	waj biu
横正暴敛	waj zij bou lim
横步	waj bou
横死	waj sei
横段山脉	waj dvn san mrk
横波	waj bo
横流	waj lru
横渡	waj dou
横溢	waj yrt
横滨	waj brn
横滨市	waj brn si
横爬行	waj pa hrj
横生	waj srj
横生枝节	waj srj zi zit
横直	waj zik
横眉	waj mei
横眉冷对千夫指	waj mei laj dxi cin fu zi
横眉怒目	waj mei nou muk
横眉立目	waj mei lap muk
横眉竖眼	waj mei sv jan
横眼	waj jan
横神经	waj srn gij
横祸	waj wo
横棱纹	waj lij mrn
横空	waj huj
横穿	waj cvn
横笔	waj brt
横筋斗	waj grn dru
横纹	waj mrn
横纹肌	waj mrn gei
横结肠	waj git cxj
横纲	waj goj
横线	waj sin
横县	waj yvn
横肉	waj yuk
横膈	waj gak
横卧	waj jo
横行	waj hrj
横行霸道	waj hrj ba dou
横街	waj gai
横冲直撞	waj cuj zik zoj
横说竖说	waj svt sv svt
横竖	waj sv
横竖劲儿	waj sv gij yi
横财	waj coi
横贯	waj gun
横越	waj yvt
横跨	waj qua
横路	waj lou
横躺	waj toj
横躺竖卧	waj toj sv jo
横过	waj guo
横钩	waj jru
横陈	waj crn
横队	waj dxi
横隔	waj gak
横隔膜	waj gak mok
横膈膜	waj gak mok
横须贺	waj sxi ho
横须贺市	waj sxi ho si
横头横脑	waj tru waj nou
横额	waj jak
横飞	waj fei
横骨	waj gurt
檀君	tan gurn
檀君王	tan gurn woj
檀越	tan yvt
檀香	tan hxj
檃栝	yrn kut
檐下	yim ha
档子	doj zi
档期	doj kei
档案	doj on
档案传输协定	doj on cvn sv hip dij
档案分配区	doj on frn pui kxi
档案执行	doj on zrp hrj
档案属性	doj on suk sij
档案建立	doj on gin lap
档案服务	doj on fuk mou
档案总管	doj on zuj gun
档案转送	doj on zvn suj
档案转送存取及管理	doj on zvn suj cvn cxi krp gun lei
档案馆	doj on gun
档次	doj ci
检修	gim sru
检出	gim cxt
检孕棒	gim yrn paj
检字法	gim zi fat
检字表	gim zi biu
检定	gim dij
检察官	gim cat gun
检察院	gim cat yvn
检尸	gim si
检控	gim huj
检控官	gim huj gun
检控方	gim huj foj
检方	gim foj
检束	gim cuk
检查	gim ca
检查员	gim ca yvn
检查哨	gim ca sau
检查站	gim ca zam
检校	gim gau
检毒盒	gim duk hrp
检毒箱	gim duk sxj
检波	gim bo
检测	gim crk
检测仪	gim cak yi
检测器	gim cak hei
检漏	gim lru
检疫	gim yik
检索	gim sok
检视	gim si
检证	gim zij
检证程序	gim zij cij zxi
检录	gim luk
检阅	gim yvt
检验医学	gim yim yi hok
梼杌	tou jrt
台子	toi zi
台安县	toi on yvn
台布	toi bou
台灯	toi drj
台钟	toi zuj
台面	toi min
槟城	brn sij
槟子	brn zi
槟州	brn zru
槟椥	brn zi
槟榔	brn loj
槟榔屿	brn loj zxi
槟榔西施	brn loj sri si
槟知	brn zi
檵木	gri muk
檵花	gri fa
柠檬水	nij muj sxi
柠檬汁	nij muj zrp
柠檬浮霉状菌	nij muj fru mui zoj qurn
柠檬片	nij muj pin
柠檬茶	nij muj ca
柠檬草	nij muj cou
柠檬酸	nij muj svn
柠檬酸循环	nij muj svn cxn wan
柠檬鸡	nij muj gri
槛花笼鹤	ham fa luj hok
槛车	ham ce
柜员机	guri yvn gei
柜子	guri zi
柜台	guri toi
櫆师	fui si
栉比	zit bei
栉水母	zit sxi mou
栉风沐雨	zit fuj muk yv
栎树	lik sv
橱子	cv zi
橱柜	cv guri
橱窗	cv cxj
蘖枝	yit zi
榉木	gxi muk
樱岛	yij dou
樱桃	yij tou
樱桃园	yij tou yvn
樱桃萝卜	yij tou lo bak
樱花	yij fa
樱花妹	yij fa mui
樱花草	yij fa cou
栏位	lan wri
栏圈	lan gvn
栏杆	lan gon
阑干	lan gon
栏架	lan ga
栏栅	lan cak
栏目	lan muk
权且	kvn ce
权位	kvn wri
权充	kvn cuj
权利	kvn lei
权利法案	kvn lei fat on
权利声明	kvn lei sij mij
权利要求	kvn lei yiu kru
权力	kvn lik
权力交接	kvn lik gau zip
权力纷争	kvn lik frn zrj
权力斗争	kvn lik dru zrj
权势	kvn sri
权威	kvn wri
权威性	kvn wri sij
权宜	kvn yi
权宜之策	kvn yi zi cak
权宜之计	kvn yi zi gri
权欲熏心	kvn yuk frn srm
权时	kvn si
权杖	kvn zxj
权柄	kvn bej
权当	kvn doj
权益	kvn yik
权能	kvn nrj
权术	kvn sxt
权衡	kvn hrj
权衡利弊	kvn hrj lei bri
权谋	kvn mru
权证	kvn zij
权变	kvn bin
权变理论	kvn bin lei lxn
权贵	kvn guri
权舆	kvn yv
权重	kvn cuj
权钥	kvn yxk
权限	kvn han
栾城	lvn sij
栾城县	lvn sij yvn
栾川	lvn cvn
栾川县	lvn cvn yvn
榄角	lam gok
欠佳	him gai
欠债	him zai
欠妥	him to
欠安	him on
欠扁	him bin
欠揍	him zru
欠条	him tiu
欠款	him fun
欠缺	him kvt
欠薪	him srn
欠费	him fri
欠账	him zxj
欠身	him srn
欠项	him hoj
次一个	ci yrt go
次之	ci zi
次亚硫酸钠	ci a lru svn nap
次元	ci yvn
次品	ci brn
次大陆	ci dai luk
次女	ci nxi
次子	ci zi
次官	ci gun
次序	ci zxi
次后	ci hru
次数	ci sou
次文化	ci mrn fa
次方	ci foj
次于	ci yv
次日	ci yrt
次氯酸	ci luk svn
次溴酸	ci cru svn
次生	ci srj
次生林	ci srj lrm
次生灾害	ci srj zoi hoi
次第	ci dri
次等	ci drj
次级	ci krp
次级房屋信贷危机	ci krp foj uk sxn tai jri gei
次级抵押贷款	ci krp dri at tai fun
次级贷款	ci krp tai fun
次经	ci gij
次声波	ci sij bo
次要	ci yiu
次贫	ci prn
次货	ci fo
次贷	ci tai
次贷危机	ci tai jri gei
次重量级	ci cuj lxj krp
次长	ci zxj
次韵	ci wrn
欣喜	yrn hei
欣喜若狂	yrn hei yxk quoj
欣幸	yrn hrj
欣弗	yrn frt
欣慰	yrn wri
欣欣向荣	yrn yrn hxj wij
欣然	yrn yin
欣赏	yrn sxj
欲加之罪，何患无辞	yuk ga zi zxi ，ho wan mou ci
欲取姑与	yuk cxi gu yv
欲取姑予	yuk cxi gu yv
欲善其事，必先利其器	yuk sin kei si ，bit sin lei kei hei
欲女	yuk nxi
欲念	yuk nim
欲振乏力	yuk zrn frt lik
欲擒故纵	yuk krm gu zuj
欲海	yuk hoi
欲滴	yuk dik
欲益反损	yuk yik fan svn
欲绝	yuk zvt
欲经	yuk gij
欲罢不能	yuk ba brt nrj
欲盖弥彰	yuk goi nei zxj
欲速则不达	yuk cuk zrk brt dat
欲速而不达	yuk cuk yi brt dat
欷歔	hei hxi
欺人太甚	hei yrn tai srm
欺以其方	hei yi kei foj
欺侮	hei mou
欺凌	hei lij
欺哄	hei huj
欺压	hei at
欺生	hei saj
欺男霸女	hei nam ba nxi
欺瞒	hei mun
欺诈	hei za
欺诈者	hei za ze
欺负	hei fu
欺辱	hei yuk
欺骗	hei pin
钦仰	yrm yxj
钦佩	yrm pui
钦北	yrm brk
钦北区	yrm brk kxi
钦南	yrm nam
钦南区	yrm nam kxi
钦命	yrm mij
钦奈	yrm noi
钦定	yrm dij
钦州	yrm zru
钦州地区	yrm zru dei kxi
钦州市	yrm zru si
钦差	yrm cai
钦挹	yrm yrp
钦敬	yrm gij
钦羡	yrm sin
款伏	fun fuk
款儿	fun yi
款冬	fun duj
款子	fun zi
款待	fun doi
款新	fun srn
款服	fun fuk
款款	fun fun
款步	fun bou
款段	fun dvn
款语移时	fun yv yi si
款项	fun hoj
欿然	hrm yin
歃血	sap hvt
歃血为盟	sap hvt wri mrj
歇宿	hit suk
歇后语	hit hru yv
歇心	hit srm
歇息	hit sik
歇手	hit sru
歇斯底里	hit si dri lei
歇业	hit yip
歇气	hit hei
歇脚	hit gxk
歇艎	hit woj
歇菜	hit coi
歇顶	hit dej
歉意	hip yi
歉收	hip sru
歉疚	hip gru
歌仔戏	go zri hei
歌儿	go yi
歌利亚	go lei a
歌剧	go kek
歌剧院	go kek yvn
歌剧院魅影	go kek yvn mei yij
歌功颂德	go guj zuj drk
歌唱	go cxj
歌唱家	go cxj ga
歌唱赛	go cxj coi
歌坛	go tan
歌女	go nxi
歌姬	go gei
歌子	go zi
歌厅	go tej
歌德	go drk
歌手	go sru
歌星	go sij
歌曲	go kuk
歌百灵	go bak lij
歌碟	go dip
歌筵	go yin
歌罗西	go lo sri
歌罗西书	go lo sri sv
歌声	go sij
歌舞	go mou
歌舞伎	go mou gei
歌舞升平	go mou sij pij
歌舞团	go mou tvn
歌词	go ci
歌咏	go wij
歌诗达邮轮	go si dat yru lxn
歌谣	go yiu
歌迷	go mri
歌颂	go zuj
欧亚	ru a
亚欧	a ru
欧亚大陆	ru a dai luk
欧亚红尾鸲	ru a huj mei kxi
欧亚鸲	ru a kxi
欧亚鵟	ru a quoj
欧仁	ru yrn
欧伯林	ru bak lrm
欧佩克	ru pui hrk
欧元	ru yvn
欧元区	ru yvn kxi
欧共体	ru guj tri
欧分	ru frn
欧吉桑	ru grt soj
欧夜鹰	ru ye yij
欧姆	ru mou
欧姆蛋	ru mou dan
欧安组织	ru on zou zik
欧宝	ru bou
欧巴	ru ba
欧巴桑	ru ba soj
欧几里得	ru gei lei drk
欧几里德	ru gei lei drk
欧式	ru sik
欧式几何	ru sik gei ho
欧式几何学	ru sik gei ho hok
欧拉	ru lai
欧文	ru mrn
欧文斯	ru mrn si
欧斑鸠	ru ban kru
欧朋	ru prj
欧柏林	ru pak lrm
欧查果	ru ca guo
欧柳莺	ru lru rj
欧榛	ru zxn
欧歌鸫	ru go duj
欧氏	ru si
欧氏几何学	ru si gei ho hok
欧泊	ru bok
欧洲	ru zru
欧洲中央银行	ru zru zuj yxj jrn hoj
欧洲之星	ru zru zi sij
欧洲人	ru zru yrn
欧洲共同市场	ru zru guj tuj si cxj
欧洲共同体	ru zru guj tuj tri
欧洲刑警组织	ru zru yij gij zou zik
欧洲原子能联营	ru zru yvn zi nrj lvn yij
欧洲大陆	ru zru dai luk
欧洲安全和合作组织	ru zru on cvn wo hrp zok zou zik
欧洲安全与合作组织	ru zru on cvn yv hrp zok zou zik
欧洲山杨	ru zru san yxj
欧洲杯	ru zru bui
欧洲核子中心	ru zru hrt zi zuj srm
欧洲核子研究中心	ru zru hrt zi yin gru zuj srm
欧洲歌唱大赛	ru zru go cxj dai coi
欧洲法院	ru zru fat yvn
欧洲理事会	ru zru lei si wui
欧洲联盟	ru zru lvn mrj
欧洲自由贸易联盟	ru zru zi yru mru yik lvn mrj
欧洲航天局	ru zru hoj tin guk
欧洲语言	ru zru yv yin
欧洲议会	ru zru yi wui
欧洲货币	ru zru fo bri
欧洲防风	ru zru foj fuj
欧洲电视	ru zru din si
欧珀莱	ru pak loi
欧当归	ru doj guri
欧盟	ru mrj
欧盟委员会	ru mrj wri yvn wui
欧石鸻	ru sek hrj
欧米伽	ru mri ga
欧米茄表公司	ru mri ga biu guj si
欧罗巴	ru lo ba
欧罗巴洲	ru lo ba zru
欧美	ru mei
欧芹	ru krn
欧若拉	ru yxk lai
欧莱雅	ru loi ja
欧莳萝	ru si lo
欧蝶鱼	ru dip yv
欧车前	ru ce cin
欧里庇得斯	ru lei bei drk si
欧金斑鸻	ru grm ban hrj
欧金翅雀	ru grm ci zxk
欧阳	ru yxj
欧阳予倩	ru yxj yv sin
欧阳修	ru yxj sru
欧阳询	ru yxj sxn
欧鸽	ru gap
歙县	sip yvn
欢势	fun sri
欢呼	fun fu
欢呼雀跃	fun fu zxk yxk
欢喜	fun hei
欢喜冤家	fun hei yvn ga
欢天喜地	fun tin hei dei
欢娱	fun yv
欢宴	fun yin
欢容	fun yuj
欢实	fun srt
欢度	fun dou
欢心	fun srm
欢快	fun fai
欢悦	fun yvt
欢愉	fun yv
欢庆	fun hij
欢畅	fun cxj
欢乐	fun lok
欢乐时光	fun lok si guoj
欢欣	fun yrn
欢欣雀跃	fun yrn zxk yxk
欢欣鼓舞	fun yrn gu mou
欢欢喜喜	fun fun hei hei
欢笑	fun siu
欢聚	fun zxi
欢聚一堂	fun zxi yrt toj
欢声	fun sij
欢蹦乱跳	fun brj lvn tiu
欢迎	fun yij
欢迎光临	fun yij guoj lrm
欢送	fun suj
欢送会	fun suj wui
欢腾	fun trj
止咳	zi krt
止咳糖浆	zi krt toj zxj
止境	zi gij
止损点	zi svn dim
停损点	tij svn dim
止步	zi bou
止汗剂	zi hon zri
止疼片	zi trj pin
止痛	zi tuj
止痛剂	zi tuj zri
止痛法	zi tuj fat
止痛片	zi tuj pin
止痛药	zi tuj yxk
止血	zi hvt
止血垫	zi hvt zin
止血栓	zi hvt san
止血贴	zi hvt tip
止闹按钮	zi nau on nru
正丁醚	zij dij mri
正中下怀	zij zuj ha wai
正中要害	zij zuj yiu hoi
正事	zij si
正交	zij gau
正交群	zij gau qurn
正人君子	zij yrn gurn zi
正仓院	zij coj yvn
正值	zij zik
正传	zij zvn
正儿八经	zij yi bat gij
正六边形	zij luk bin yij
正切	zij cit
正则	zij zrk
正则参数	zij zrk cam sou
正则表达式	zij zrk biu dat sik
正割	zij got
正剧	zij kek
正化	zij fa
正午	zij j
正半轴	zij bun zuk
正反	zij fan
正反两面	zij fan lxj min
正史	zij si
正名	zij mij
正向前看	zij hxj cin hon
正向力	zij hxj lik
正品	zij brn
正在	zij zoi
正外部性	zij joi bou sij
正多胞形	zij do bau yij
正多面体	zij do min tri
正大光明	zij dai guoj mij
正太	zij tai
正太控	zij tai huj
正好	zij hou
正如	zij yv
正妹	zej mui
正子	zij zi
正字	zij zi
正字法	zij zi fat
正字通	zij zi tuj
正安	zij on
正安县	zij on yvn
正宗	zij zuj
正定	zij dij
正定县	zij dij yvn
正室	zij srt
正宫娘娘	zij guj nxj nxj
正宁	zij nij
正宁县	zij nij yvn
正对	zij dxi
正巧	zij hau
正常	zij sxj
正常值	zij sxj zik
正常化	zij sxj fa
正常工作	zij sxj guj zok
正常成本	zij sxj sij bun
正式	zij sik
正式投票	zij sik tru piu
正弦	zij yin
正弦定理	zij yin dij lei
正弦形	zij yin yij
正弦波	zij yin bo
正德	zij drk
正念	zij nim
正意	zij yi
正态分布	zij tai frn bou
正房	zij foj
上房	sxj foj
正投影	zij tru yij
正教	zij gau
正教真诠	zij gau zrn cvn
正整数	zij zij sou
正数	zij sou
正文	zij mrn
正断层	zij dvn crj
正方向	zij foj hxj
正方形	zij foj yij
正方体	zij foj tri
正日	zij yrt
正旦	zij dan
正是	zij si
正书	zij sv
正月	zij yvt
新正	srn zij
正月初一	zij yvt co yrt
正朔	zij sok
正本	zij bun
正业	zij yip
正极	zij gik
正楷	zij kai
正正	zij zij
正步	zij bou
正步走	zij bou zru
正殿	zij din
正比	zij bei
正比例	zij bei lri
正法	zij fat
正派	zij pai
正港	zij goj
正然	zij yin
正版	zij ban
正牙带环	zij ja dai wan
正生	zij srj
正用	zij yuj
正当中	zij doj zuj
正当年	zij doj nin
正当性	zij doj sij
正当时	zij doj si
正当理由	zij doj lei yru
正当防卫	zij doj foj wri
正直	zij zik
正眼	zij jan
正确	zij kok
正确处理	zij kok cv lei
正确处理人民内部矛盾	zij kok cv lei yrn mrn noi bou mau txn
正确路线	zij kok lou sin
正祖	zij zou
正经	zij gij
正经八百	zij gij bat bak
正经八摆	zij gij bat bai
正经八板	zij gij bat ban
正义	zij yi
正义斗争	zij yi dru zrj
正义党	zij yi doj
正职	zij zik
正色	zij sik
正着	zij zxk
正蓝旗	zij lam kei
正兰旗	zij lan kei
正号	zij hou
正装	zij zoj
正襟危坐	zij krm jri zo
正要	zij yiu
正规教育	zij quri gau yuk
正规军	zij quri gurn
正角	zij gok
正言厉色	zij yin lri sik
正词法	zij ci fat
正误	zij j
正误表	zij j biu
正象	zij zxj
正负	zij fu
正负号	zij fu hou
正负电子	zij fu din zi
正路	zij lou
正轨	zij guri
正道	zij dou
正邪	zij ce
正邪相争	zij ce sxj zrj
正锋	zij fuj
正镶白旗	zij sxj bak kei
正长石	zij cxj sek
正阳	zij yxj
正阳县	zij yxj yvn
正离子	zij lei zi
正电	zij din
正电子	zij din zi
正电子断层	zij din zi dvn crj
正电子照射断层摄影	zij din zi ziu se dvn crj sip yij
正电子发射层析	zij din zi fat se crj sik
正电子发射断层照相术	zij din zi fat se dvn crj ziu sxj sxt
正电子发射计算机断层	zij din zi fat se gri svn gei dvn crj
正电子发射体层	zij din zi fat se tri crj
正面	zij min
正音	zij yrm
正颜厉色	zij jan lri sik
正餐	zij can
正骨	zij gurt
正骨八法	zij gurt bat fat
正体	zij tri
正体字	zij tri zi
正点	zij dim
此刻	ci hrk
此前	ci cin
此地	ci dei
此地无银三百两	ci dei mou jrn sam bak lxj
此外	ci joi
此后	ci hru
此时	ci si
此时以前	ci si yi cin
此时此刻	ci si ci hrk
此时此地	ci si ci dei
此次	ci ci
此致	ci zi
此致敬礼	ci zi gij lri
此处	ci cv
此起彼伏	ci hei bei fuk
此伏彼起	ci fuk bei hei
此起彼落	ci hei bei lok
此路不通	ci lou brt tuj
此道	ci dou
此间	ci gan
此际	ci zri
此类	ci lxi
步人后尘	bou yrn hru crn
步伐	bou frt
步入	bou yrp
步哨	bou sau
步子	bou zi
步履	bou lei
步履紊乱	bou lei mrn lvn
步履维艰	bou lei wri gan
步态	bou tai
步态蹒跚	bou tai pun san
步摇	bou yiu
步操	bou cou
步斗踏罡	bou dru dap goj
步月	bou yvt
步枪	bou cxj
步步	bou bou
步步为营	bou bou wri yij
步武	bou mou
步法	bou fat
步测	bou cak
步犁	bou lri
步罡踏斗	bou goj dap dru
步行	bou hrj
步行区	bou hrj kxi
步行者	bou hrj ze
步行虫	bou hrj cuj
步行街	bou hrj gai
步话机	bou wa gei
步调	bou diu
步调一致	bou diu yrt zi
步进制	bou zxn zri
步进马达	bou zxn ma dat
步道	bou dou
步韵	bou wrn
武丁	mou dij
武仙座	mou sin zo
武侯	mou hru
武侯区	mou hru kxi
武侯祠	mou hru ci
武侠	mou hap
武侠小说	mou hrp siu svt
武则天	mou zrk tin
武功	mou guj
武功山	mou guj san
武功县	mou guj yvn
武功镇	mou guj zrn
武勇	mou yuj
武胜	mou sij
武胜县	mou sij yvn
武器	mou hei
武器可用物质	mou hei ho yuj mrt zrt
武器禁运	mou hei grm wrn
武器系统	mou hei hri tuj
武器级	mou hei krp
武器级别材料	mou hei krp bit coi liu
武城	mou sij
武城县	mou sij yvn
武坛	mou tan
武士	mou si
武士刀	mou si dou
武士彟	mou si wok
武士道	mou si dou
武夷山	mou yi san
武夷山市	mou yi san si
武威	mou wri
武威地区	mou wri dei kxi
武威市	mou wri si
武安	mou on
武安市	mou on si
武官	mou gun
武定	mou dij
武定县	mou dij yvn
武宣	mou svn
武宣县	mou svn yvn
武宁	mou nij
武宁县	mou nij yvn
武将	mou zxj
武山	mou san
武山县	mou san yvn
武山鸡	mou san gri
武冈	mou goj
武冈市	mou goj si
武川	mou cvn
武川县	mou cvn yvn
武平	mou pij
武平县	mou pij yvn
武库	mou fu
武康镇	mou hoj zrn
武强	mou kxj
武强县	mou kxj yvn
武打	mou da
武打片	mou da pin
武断	mou dvn
武旦	mou dan
武昌	mou cxj
武昌区	mou cxj kxi
武昌起义	mou cxj hei yi
武松	mou cuj
武林	mou lrm
武水	mou sxi
武江	mou goj
武江区	mou goj kxi
武清	mou cij
武清区	mou cij kxi
武溪	mou kri
武汉	mou hon
武汉地区	mou hon dei kxi
武汉大学	mou hon dai hok
武汉市	mou hon si
武汉钢铁公司	mou hon goj tit guj si
武王伐纣	mou woj frt zru
武生	mou srj
武略	mou lxk
武当山	mou doj san
武穴	mou yvt
武穴市	mou yvt si
武经七书	mou gij crt sv
武经总要	mou gij zuj yiu
武义	mou yi
武义县	mou yi yvn
武圣	mou sij
武职	mou zik
武举	mou gxi
武艺	mou jri
武艺高强	mou jri gou kxj
武术	mou sxt
武装	mou zoj
武装分子	mou zoj frn zi
武装力量	mou zoj lik lxj
武装冲突	mou zoj cuj drt
武装部队	mou zoj bou dxi
武警	mou gij
武警战士	mou gij zin si
武警部队	mou gij bou dxi
武进	mou zxn
武进区	mou zxn kxi
武邑	mou yrp
武邑县	mou yrp yvn
武都	mou dou
武都区	mou dou kxi
武都市	mou dou si
武乡	mou hxj
武乡县	mou hxj yvn
武陟	mou zik
武陟县	mou zik yvn
武陵	mou lij
武陵区	mou lij kxi
武陵源	mou lij yvn
武隆	mou luj
武隆县	mou luj yvn
武鸣	mou mij
武鸣县	mou mij yvn
歧异	kei yi
歧义	kei yi
歧见	kei gin
歧视	kei si
歧路	kei lou
歧路灯	kei lou drj
歧途	kei tou
歪嘴	me zxi
歪打正着	wai da zij zxk
歪斜	wai ce
歪歪扭扭	wai wai nru nru
歪歪斜斜	wai wai ce ce
歪理	wai lei
歪瓜裂枣	wai gua lit zou
歪瓜劣枣	wai gua lvt zou
歪门邪道	wai mun ce dou
歪风	wai fuj
歪风邪气	wai fuj ce hei
歪点子	wai dim zi
岁不我与	sxi brt jo yv
岁修	sxi sru
岁俸	sxi fuj
岁入	sxi yrp
岁出	sxi cxt
岁差	sxi ca
岁序	sxi zxi
岁数	sxi sou
岁时	sxi si
岁暮	sxi mou
岁月	sxi yvt
岁月如流	sxi yvt yv lru
岁月峥嵘	sxi yvt zaj wij
岁月流逝	sxi yvt lru sri
岁末	sxi mut
岁岁平安	sxi sxi pij on
岁计	sxi gri
岁计余绌	sxi gri yv zvt
岁阑	sxi lan
岁首	sxi sru
历下	lik ha
历下区	lik ha kxi
历久弥坚	lik gru nei gin
历代	lik doi
历代志上	lik doi zi sxj
历代志下	lik doi zi ha
历任	lik yrm
历来最低点	lik loi zxi dri dim
历史	lik si
历史上	lik si sxj
历史久远	lik si gru yvn
历史事件	lik si si gin
历史人物	lik si yrn mrt
历史剧	lik si kek
历史博物馆	lik si bok mrt gun
历史学	lik si hok
历史学家	lik si hok ga
历史家	lik si ga
历史性	lik si sij
历史悠久	lik si yru gru
历史意义	lik si yi yi
历史成本	lik si sij bun
历史新高	lik si srn gou
历史时期	lik si si kei
历史沿革	lik si yvn gak
历史版本	lik si ban bun
历史背景	lik si bui gij
历史观点	lik si gun dim
历史遗产	lik si wri can
历史遗迹	lik si wri zik
历城	lik sij
历城区	lik sij kxi
历届	lik gai
历数	lik sou
历时	lik si
历朝通俗演义	lik ciu tuj zuk yin yi
历次	lik ci
历历可数	lik lik ho sou
历历在目	lik lik zoi muk
历尽	lik zxn
历尽沧桑	lik zxn coj soj
历经	lik gij
历练	lik lin
历险	lik him
归仁	guri yrn
归仁乡	guri yrn hxj
归并	guri bij
归依	guri yi
归侨	guri kiu
归入	guri yrp
归公	guri guj
归功	guri guj
归化	guri fa
归口	guri hru
归向	guri hxj
归咎	guri gru
归国	guri guok
归天	guri tin
归宿	guri suk
归宁	guri nij
归属	guri suk
归属感	guri suk grm
归属权	guri suk kvn
归心	guri srm
归心似箭	guri srm ci zin
归心者	guri srm ze
归拢	guri luj
归于	guri yv
归根	guri grn
归根到底	guri grn dou dri
归根结底	guri grn git dri
归根结柢	guri grn git dri
归根结蒂	guri grn git dri
归案	guri on
归档	guri doj
归正	guri zij
归省	guri sij
归真	guri zrn
归程	guri cij
归纳推理	guri nap txi lei
归纳法	guri nap fat
归结	guri git
归绥	guri sxi
归经	guri gij
归罪	guri zxi
归西	guri sri
归谬法	guri mru fat
归路	guri lou
归途	guri tou
归还	guri wan
归附	guri fu
归除	guri cxi
归队	guri dxi
归隐	guri yrn
归零地	guri lij dei
归顺	guri sxn
归类	guri lxi
歹人	dai yrn
歹势	dai sri
歹徒	dai tou
歹意	dai yi
歹毒	dai duk
死不了	sei brt liu
死不冥目	sei brt mij muk
死不改悔	sei brt goi fui
死不瞑目	sei brt mij muk
死不要脸	sei brt yiu lim
死中求生	sei zuj kru srj
死乞白赖	sei hrt bak lai
死气白赖	sei hei bak lai
死亡	sei moj
死亡人数	sei moj yrn sou
死亡率	sei moj lxt
死亡笔记	sei moj brt gei
死仗	sei zxj
死信	sei sxn
死伤	sei sxj
死伤者	sei sxj ze
死刑	sei yij
死刑缓期执行	sei yij wun kei zrp hrj
死别	sei bit
死到临头	sei dou lrm tru
死劲	sei gij
死劲儿	sei gij yi
死区	sei kxi
死去	sei hxi
死去活来	sei hxi wut loi
死命	sei mij
死囚	sei cru
死因	sei yrn
死因不明	sei yrn brt mij
死城	sei sij
死守	sei sru
死定	sei dij
死寂	sei zik
死对头	sei dxi tru
死局	sei guk
死巷	sei hoj
死后	sei hru
死心	sei srm
死心塌地	sei srm tap dei
死心踏地	sei srm dap dei
死心眼儿	sei srm jan yi
死战	sei zin
死敌	sei dik
死文字	sei mrn zi
死于非命	sei yv fei mij
死期	sei kei
死板	sei ban
死棋	sei kei
死机	sei gei
死机蓝屏	sei gei lam pij
死死	sei sei
死气沉沉	sei hei crm crm
死水	sei sxi
死活	sei wut
死活不顾	sei wut brt gu
死海	sei hoi
死海古卷	sei hoi gu gvn
死海经卷	sei hoi gij gvn
死灰复燃	sei fui fuk yin
死无对证	sei mou dxi zij
死无葬身之地	sei mou zoj srn zi dei
死生	sei srj
死产	sei can
死当	sei doj
死症	sei zij
死皮赖脸	sei pei lai lim
死神	sei srn
死穴	sei yvt
死结	sei git
死结难解	sei git nan gai
死绝	sei zvt
死缓	sei wun
死缠烂打	sei cin lan da
死罪	sei zxi
死翘翘	sei kiu kiu
死而不僵	sei yi brt gxj
死而后已	sei yi hru yi
死而无悔	sei yi mou fui
死里逃生	sei lxi tou srj
死讯	sei sxn
死记	sei gei
死记硬背	sei gei jaj bui
死账	sei zxj
死路	sei lou
死锁	sei so
死难	sei nan
死难者	sei nan ze
死顽固	sei wan gu
死马当活马医	sei ma doj wut ma yi
死鬼	sei guri
死面	sei min
死点	sei dim
死党	sei doj
殃及	yxj krp
殆尽	toi zxn
殉国	sxn guok
殉情	sxn cij
殉教	sxn gau
殉死	sxn sei
殉节	sxn zit
殉职	sxn zik
殉葬	sxn zoj
殉道	sxn dou
殉难	sxn nan
殊不知	sv brt zi
殊域周咨录	sv wik zru zi luk
殊姿	sv zi
殊荣	sv wij
殊死	sv sei
殊深轸念	sv srm zrn nim
殊异	sv yi
殊致	sv zi
殊色	sv sik
殊途同归	sv tou tuj guri
殊乡	sv hxj
殖利	zik lei
殖民	zik mrn
殖民主义	zik mrn zv yi
殖民地	zik mrn dei
殖民者	zik mrn ze
殗殜	yip yip
残兵败将	can bij bai zxj
残冬腊月	can duj lap yvt
残卷	can gvn
残品	can brn
残喘	can cvn
残垣	can wun
残垣断壁	can wun dvn bik
